Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
23,2049.02466289,1.0,29,48.2616569491,49.3033047047,45.877170264,47.3750175301,45.9648495236,38.7657771458,-6.71494459198,-5.84064408674,-6.19443637195,-6.51195633884,-6.74731370175,-0.959149114559,-0.75612558617,0.0,-1.42893321124,-0.851375351631,-1.75927655524,27.3168057823,1.17609446898,1.52514307449,1.49134332518,1.5633455293,-3.33327341475,-6.88578767654,-6.59501645409,-3.4687946641,28.8990239825,3
24,1884.51155559,1.0,29,47.4510113012,48.4846361119,45.7605284396,47.2103372478,44.9597974626,38.5005097711,-6.4814368094,-5.92517085191,-5.58562277732,-6.01346995986,-6.44255738354,-0.986665034776,-0.704043237093,0.0,-1.42893321124,-0.837439259648,-1.78307075477,27.2309826618,1.17609492723,1.52508528906,1.49133669839,1.52857493343,-3.33334375299,-6.39233710794,-6.30769357234,-3.46811814108,28.8939854778,3
25,1715.30538823,1.0,29,46.8248928556,47.44502961,45.6898338925,47.6727921148,44.816395997,38.2328102455,-5.63531933216,-6.04181208418,-4.59774528787,-4.67967748181,-5.47785370771,-1.00894125961,-0.511331952385,0.0,-1.42893321124,-0.963876467918,-1.79606442647,27.1943898421,1.17609711741,1.52503800468,1.49132662484,1.43235870149,-3.33514252324,-5.71910054777,-5.27868701415,-3.46551340703,28.7887841034,3
26,1957.90523675,1.0,29,47.8244575746,48.8680092405,45.8128546827,47.2501205642,45.3979986588,38.6232145447,-6.62503165483,-5.88782750481,-5.8822661994,-6.29904583728,-6.61720777962,-0.968492530113,-0.742011735619,0.0,-1.42893321124,-0.820021245488,-1.76749499802,27.3063730516,1.17609467934,1.52510729803,1.49133990793,1.55200643601,-3.33324097466,-6.62293307751,-6.47893279733,-3.46844806125,28.8970877597,3
27,1858.50052296,1.0,29,47.3160076241,48.3351197236,45.7426472787,47.2464252811,44.8447665424,38.4546241087,-6.38677021766,-5.93742709761,-5.45387659151,-5.84417294621,-6.33006794169,-0.999396696431,-0.648830986297,0.0,-1.42893321124,-0.876354202426,-1.79365970783,27.1224504458,1.17609506456,1.52507939455,1.49133535068,1.50962345851,-3.33345159215,-6.30188852735,-6.18978806139,-3.46793519026,28.8905456127,3
28,2182.68362866,1.0,29,48.8347993089,49.8661141175,45.9671335116,47.5897908225,46.7361178893,38.9537923559,-6.74460363177,-5.77218165557,-6.54627083076,-6.6653999573,-6.8697496235,-1.01373631393,-0.780043077427,0.0,-1.42893321124,-0.879072542299,-1.80662736138,27.3082235038,1.17609428285,1.52521736995,1.49134739405,1.56718556244,-3.33358881727,-7.23078728294,-6.69447867259,-3.4694351332,28.9094509403,3
29,1945.3147494,1.0,29,47.7607373307,48.8040095601,45.8037923552,47.2367979938,45.3176126753,38.6024754198,-6.60606609751,-5.89436032944,-5.83482364774,-6.258871501,-6.59379728754,-0.970795435325,-0.7409045704,0.0,-1.42893321124,-0.818770105494,-1.76951070569,27.304032574,1.17609471546,1.52510327573,1.49133938456,1.549365343,-3.3332493599,-6.58450452465,-6.45696523289,-3.4684000128,28.8968585877,3
30,2198.93868441,1.0,29,48.9016537815,49.9315173681,45.9778661234,47.6155880916,46.8268098379,38.9757867929,-6.74501658722,-5.76390263961,-6.584050758,-6.67950041384,-6.88322366432,-1.02480384276,-0.782616684788,0.0,-1.42893321124,-0.878963431287,-1.81623858295,27.3060032441,1.17609426458,1.52522741167,1.49134785311,1.56742762476,-3.33363846125,-7.27114388375,-6.70531645386,-3.46952303231,28.9112616421,3
31,1807.35341405,1.0,29,47.0505415092,48.0411163635,45.7074864415,47.3173874223,44.6185740998,38.3643962809,-6.20062141894,-5.96152731472,-5.1948158841,-5.51127371387,-6.10887296589,-1.02443175346,-0.540263708533,0.0,-1.42893321124,-0.952875071271,-1.81448142387,26.9090368089,1.17609533461,1.52506780381,1.49133270059,1.47235799637,-3.33366364298,-6.12403386592,-5.95794313256,-3.46757544269,28.8837815924,3
32,1832.6274108,1.0,29,47.1817197883,48.1863961286,45.7248609306,47.2823219618,44.7303455602,38.4089817497,-6.2926055845,-5.94961835599,-5.32282897451,-5.67577361026,-6.21817496201,-1.01206084993,-0.593911492032,0.0,-1.42893321124,-0.915062803252,-1.8041925142,27.0144937092,1.17609520117,1.5250735313,1.49133401012,1.49077247158,-3.3335588595,-6.21191953983,-6.07250773069,-3.46775320951,28.8871239872,3
33,2177.80329857,1.0,29,48.8147272833,49.846477799,45.9639112103,47.5820455898,46.7088890288,38.947188865,-6.74447964826,-5.77466730259,-6.53492798958,-6.66116651243,-6.8657042503,-1.01041345889,-0.779270391461,0.0,-1.42893321124,-0.879105301199,-1.80374174016,27.3088901026,1.17609428834,1.52521435508,1.49134725622,1.56711288695,-3.33357391243,-7.21867083521,-6.69122479572,-3.46940874285,28.908907305,3
34,1812.5294388,1.0,29,47.0774063547,48.0708691432,45.7110446751,47.3102061406,44.6414644978,38.3735272265,-6.21945944925,-5.95908840228,-5.22103251022,-5.54496270822,-6.13125762638,-1.02189823637,-0.551250583998,0.0,-1.42893321124,-0.945131253117,-1.81237429172,26.9306340075,1.17609530729,1.52506897678,1.49133296878,1.47612921547,-3.3336421837,-6.1420325397,-5.98140555524,-3.4676118487,28.884466103,3
35,1858.62441448,1.0,29,47.3166506517,48.3358318758,45.7427324474,47.2462533925,44.845314439,38.4548426639,-6.38722111818,-5.93736872065,-5.45450410353,-5.84497931422,-6.33060373311,-0.99933605505,-0.649093964314,0.0,-1.42893321124,-0.876168849097,-1.79360927225,27.1229673888,1.17609506391,1.52507942263,1.4913353571,1.5097137251,-3.33345107851,-6.30231933732,-6.19034964976,-3.46793606166,28.8905619969,3
36,1821.04479865,1.0,29,47.1216031734,48.1198170596,45.7168985188,47.2983918234,44.6791227367,38.3885490418,-6.25045091763,-5.95507601476,-5.26416290793,-5.60038630538,-6.16808384897,-1.01773020959,-0.569325690465,0.0,-1.42893321124,-0.932391476641,-1.80890773401,26.9661647336,1.17609526232,1.5250709065,1.49133340999,1.48233345315,-3.33360687986,-6.171643137,-6.02000486305,-3.46767174222,28.8855922286,3
37,2011.71543357,1.0,29,48.0910656598,49.134873349,45.8512824722,47.3138653062,45.737994071,38.7100516071,-6.69477433223,-5.85992988578,-6.07757889874,-6.45214510894,-6.70786512172,-0.960400195834,-0.748201608223,0.0,-1.42893321124,-0.830697356389,-1.76040224717,27.3148212995,1.17609453718,1.52512608191,1.49134205622,1.56143616639,-3.33322739138,-6.7835255104,-6.56256783553,-3.46865314398,28.8981335671,3
38,2199.128113,1.0,29,48.9024328713,49.932279546,45.9779911961,47.6158887205,46.8278667182,38.9760431055,-6.74502139961,-5.76380615994,-6.58449102708,-6.67966473376,-6.88338068431,-1.02493281841,-0.782646676369,0.0,-1.42893321124,-0.87896215976,-1.8163505875,27.3059773703,1.17609426436,1.52522752869,1.49134785846,1.56743044563,-3.33363903978,-7.27161418014,-6.70544275215,-3.46952405664,28.9112827431,3
39,1972.14950291,1.0,29,47.8965475651,48.9404153719,45.8231073602,47.2651930735,45.4889434581,38.6466777838,-6.64648836568,-5.88043658417,-5.93594039916,-6.34449713101,-6.64369327384,-0.965887134956,-0.743264328598,0.0,-1.42893321124,-0.821436724539,-1.76521452422,27.3090209544,1.17609463848,1.52511184866,1.49134050005,1.55499444042,-3.33323148801,-6.66640927662,-6.50378583329,-3.46850242093,28.8973470339,3
40,2030.70712761,1.0,29,48.1779025532,49.2206107612,45.8644602577,47.3449939129,45.8534713785,38.7384178424,-6.70504169526,-5.85011274398,-6.13706341282,-6.4825911031,-6.7279458196,-0.959763351996,-0.752235188316,0.0,-1.42893321124,-0.841223174424,-1.75982923087,27.3158314702,1.17609450246,1.52513473172,1.49134270216,1.56240809845,-3.33325081887,-6.83558050607,-6.57908530981,-3.46872518264,28.8985868195,3
41,2093.62442134,1.0,29,48.4655831742,49.5046489275,45.9081167424,47.4481193995,46.2360343904,38.8323919113,-6.73905628576,-5.81758968453,-6.33412875296,-6.58345517316,-6.79447085757,-0.95765356175,-0.765597974338,0.0,-1.42893321124,-0.876093996582,-1.75793089388,27.3191780494,1.17609438746,1.52516338757,1.4913448421,1.56562799736,-3.33332843146,-7.00803270791,-6.63380579861,-3.46896383841,28.9000883923,3
42,2335.29802002,1.0,29,49.3951825147,50.4091215606,46.0616274067,47.8064517841,47.5075846977,39.1400652812,-6.71529041387,-5.69589456876,-6.86135680083,-6.73722954138,-6.93090184867,-1.02601402046,-0.793465159359,0.0,-1.4264337425,-0.843000869536,-1.81982570046,27.2910697705,1.17609419801,1.52534302971,1.49135097885,1.56798129158,-3.33447256948,-7.57357856248,-6.7845910758,-3.47086543855,28.989645573,3
43,1870.71824954,1.0,29,47.3794206396,48.4053495517,45.7510462969,47.2294742538,44.8987980894,38.4761772122,-6.4312363698,-5.93167017665,-5.51575952016,-5.92369399611,-6.38290572262,-0.993416466302,-0.674764911863,0.0,-1.42893321124,-0.858075338318,-1.78868593631,27.1734294653,1.17609500005,1.52508216328,1.49133598372,1.51852521732,-3.33340093867,-6.34437342377,-6.24516984171,-3.46802112468,28.8921613629,3
44,1952.14374957,1.0,29,47.7952987853,48.8387225792,45.808707704,47.2440240712,45.361213521,38.6137241891,-6.61635289505,-5.89081696696,-5.8605561857,-6.28066180521,-6.60649498939,-0.969546354201,-0.741505089765,0.0,-1.42893321124,-0.819448715861,-1.76841739868,27.3053020341,1.17609469587,1.5251054574,1.49133966844,1.55079785503,-3.3332448118,-6.60534792705,-6.46888029998,-3.46842607397,28.8969828891,3
45,2079.45138024,1.0,29,48.4007789046,49.4406651741,45.8982824804,47.4248888746,46.1498564738,38.8112228772,-6.7313940015,-5.82491597959,-6.28973690136,-6.5607340654,-6.77948511928,-0.958128822876,-0.762587811244,0.0,-1.42893321124,-0.868238833613,-1.75835852206,27.3184241835,1.17609441336,1.52515693242,1.49134436005,1.56490266801,-3.33331094809,-6.96918532588,-6.62147920776,-3.46891007771,28.8997501411,3
